,restaurant,online_order,book_table,rating,votes,cuisines,average_cost,restaurant_type,locality
47,Recipe,Yes,No,4.0,804,"North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari
48,Beijing Bites,Yes,No,3.7,679,"Chinese, Thai",850.0,Delivery,Banashankari
49,Tasty Bytes,Yes,No,3.1,245,"North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari
50,Petoo,No,No,3.7,21,North Indian,450.0,Delivery,Banashankari
51,Shree Cool Point,Yes,No,4.1,28,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari
52,Corner House Ice Cream,No,No,4.3,345,"Ice Cream, Desserts",400.0,Delivery,Banashankari
53,Biryanis And More,Yes,No,4.0,618,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari
54,Roving Feast,No,No,4.0,1047,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari
55,FreshMenu,Yes,No,3.9,627,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari
56,Banashankari Donne Biriyani,Yes,No,3.8,104,"Biryani, Fast Food",300.0,Delivery,Banashankari
57,Wamama,Yes,Yes,4.2,354,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari
58,Five Star Chicken,No,No,3.6,55,"Fast Food, Burger",200.0,Delivery,Banashankari
59,XO Belgian Waffle,Yes,No,3.7,17,"Desserts, Beverages",400.0,Delivery,Banashankari
60,Peppy Peppers,No,No,4.2,244,"Italian, North Indian, Mexican",800.0,Delivery,Banashankari
61,Goa 0 Km,Yes,Yes,3.6,163,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari
62,Chinese Kitchen,Yes,No,3.8,58,Chinese,150.0,Delivery,Banashankari
63,1947,No,Yes,4.0,808,"North Indian, Chinese",850.0,Delivery,Banashankari
64,Cake of the Day,No,No,3.7,78,Bakery,150.0,Delivery,Banashankari
65,Kabab Magic,Yes,No,4.1,1720,"North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari
66,Namma Brahmin's Idli,Yes,No,3.6,34,South Indian,100.0,Delivery,Banashankari
67,Gustoes Beer House,No,No,4.1,868,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari
68,Sugar Rush,No,No,3.8,39,"Bakery, Desserts",300.0,Delivery,Banashankari
69,Burger King,Yes,No,3.2,71,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari
70,The Good Bowl,Yes,No,3.6,6,"Italian, North Indian, Biryani",500.0,Delivery,Banashankari
71,The Biryani Cafe,No,No,4.1,520,"Biryani, Chinese, Kebab",300.0,Delivery,Banashankari
73,LSD Cafe,No,No,2.9,84,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari
74,Rolls On Wheels,No,No,3.6,299,"Fast Food, Rolls, Momos",300.0,Delivery,Banashankari
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,South Indian,150.0,Delivery,Banashankari
77,Devanna Dum Biriyani Centre,Yes,No,3.6,28,"Biryani, South Indian",300.0,Delivery,Banashankari
78,Kolbeh,No,No,3.7,22,Fast Food,500.0,Delivery,Banashankari
79,Upahar Sagar,No,No,3.8,39,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari
80,Kadalu Sea Food Restaurant,Yes,No,3.8,153,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari
81,Frozen Bottle,Yes,No,4.2,146,"Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari
82,Parimala Sweets,No,No,3.5,14,"Mithai, Street Food",200.0,Delivery,Banashankari
83,Vaishali Deluxe,No,No,3.8,42,"North Indian, Chinese",700.0,Delivery,Banashankari
85,The Big O Bakes,No,No,4.0,66,"Bakery, Desserts",300.0,Delivery,Banashankari
86,Meghana Foods,Yes,No,4.4,4401,"Biryani, North Indian, Chinese",600.0,Delivery,Banashankari
87,Krishna Sagar,No,No,3.5,31,North Indian,200.0,Delivery,Banashankari
88,Dessert Rose,No,No,3.5,7,Desserts,500.0,Delivery,Banashankari
89,Chickpet Donne Biryani House,No,No,3.7,21,Biryani,250.0,Delivery,Banashankari
93,Thanco's Natural Ice Creams,No,No,3.2,9,Ice Cream,300.0,Delivery,Banashankari
94,Nandhini Deluxe,No,No,2.6,283,North Indian,600.0,Delivery,Banashankari
95,Vi Ra's Bar and Restaurant,No,No,3.3,62,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari
96,Kaggis,No,No,3.8,64,"Fast Food, Bakery",250.0,Delivery,Banashankari
97,Ayda Persian Kitchen,No,No,3.7,39,"North Indian, Iranian",950.0,Delivery,Banashankari
98,Chatar Patar,No,No,3.7,65,"Fast Food, Street Food",300.0,Delivery,Banashankari
99,Polar Bear,Yes,No,3.8,71,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari
100,Kidambi's Kitchen,No,No,3.5,52,South Indian,300.0,Delivery,Banashankari
101,Mane Thindi,No,No,3.7,130,South Indian,200.0,Delivery,Banashankari
102,Kotian Karavali Restaurant,No,No,3.5,10,"South Indian, Biryani",300.0,Delivery,Banashankari
103,Floured-Baked With Love,No,No,3.8,45,Bakery,400.0,Delivery,Banashankari
104,CAFE NOVA,No,No,3.2,11,"Cafe, Bakery",600.0,Delivery,Banashankari
105,Cakes & Slices,No,No,3.5,13,"Bakery, Desserts",300.0,Delivery,Banashankari
106,Spice 9,No,No,3.4,8,"Biryani, North Indian, Chinese, Fast Food",300.0,Delivery,Banashankari
108,Naveen Kabab & Biriyani Mane,No,No,3.2,9,Biryani,300.0,Delivery,Banashankari
109,Katriguppe Donne Biryani,No,No,3.2,4,North Indian,300.0,Delivery,Banashankari
111,Atithi Point Ande Ka Funda,No,No,3.1,29,North Indian,150.0,Delivery,Banashankari
112,Just Bake,No,No,3.4,8,"Bakery, Desserts",400.0,Delivery,Banashankari
119,K27 - The Pub,No,No,3.1,30,"Chinese, North Indian",1000.0,Delivery,Banashankari
120,Bengaluru Coffee House,Yes,No,4.1,201,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Banashankari
121,New Mangalore Lunch Home,No,No,3.3,7,"Mangalorean, South Indian, North Indian",200.0,Delivery,Banashankari
122,Coffee Bytes,No,No,3.1,6,"Fast Food, South Indian",100.0,Delivery,Banashankari
123,Parjanya Chat Zone,No,No,3.3,17,"Street Food, Fast Food",200.0,Delivery,Banashankari
124,Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,"Ice Cream, Desserts",200.0,Delivery,Banashankari
127,Ruchi Maayaka,No,No,3.3,8,South Indian,100.0,Delivery,Banashankari
145,Anna Kuteera,Yes,No,4.0,771,"South Indian, North Indian, Chinese",450.0,Delivery,Banashankari
146,Darbar,No,No,3.0,98,"North Indian, Chinese",800.0,Delivery,Banashankari
147,Vijayalakshmi,Yes,No,3.9,47,South Indian,200.0,Delivery,Banashankari
148,Sri Udupi Food Hub,Yes,Yes,4.1,175,"South Indian, North Indian, Chinese, Beverages",500.0,Delivery,Banashankari
149,Udupi Upahar,Yes,No,3.8,58,"South Indian, Chinese, North Indian, Juices",300.0,Delivery,Banashankari
150,House Of Kebabs,Yes,No,3.8,540,"North Indian, Kebab, Biryani, Chinese",650.0,Delivery,Banashankari
151,Roll N Rock,Yes,No,3.8,124,"Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,Banashankari
152,BOX8- Desi Meals,Yes,No,4.1,340,"North Indian, Mughlai, Fast Food",500.0,Delivery,Banashankari
153,KFC,Yes,No,3.8,505,"Burger, Fast Food",450.0,Delivery,Banashankari
155,Roll Over,Yes,No,4.1,438,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,Banashankari
156,Imperial Restaurant,Yes,No,3.7,264,"North Indian, Chinese, Biryani, Beverages",750.0,Delivery,Banashankari
157,Lassi Shop,Yes,No,3.9,169,"Beverages, Juices, Ice Cream",150.0,Delivery,Banashankari
158,The Fortuna,Yes,No,3.0,67,"North Indian, Chinese",250.0,Delivery,Banashankari
159,Wahab,Yes,No,3.7,97,"North Indian, Mughlai, Chinese",350.0,Delivery,Banashankari
160,Al Diwan Biryanis And More,Yes,No,3.3,12,Biryani,300.0,Delivery,Banashankari
161,New Gowda's Fried Chicken,Yes,No,3.3,12,Biryani,300.0,Delivery,Banashankari
162,Canton,Yes,No,3.6,195,"Chinese, Seafood, Biryani",800.0,Delivery,Banashankari
163,Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,"Desserts, Mithai",300.0,Delivery,Banashankari
164,The Blue Wagon - Kitchen,Yes,No,4.6,228,"Cafe, Beverages",400.0,Delivery,Banashankari
165,HOT COFFEE,Yes,No,4.1,70,"South Indian, Chinese",150.0,Delivery,Banashankari
166,Patio 805,Yes,Yes,4.1,364,"Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,Banashankari
167,Lassi Corner,Yes,No,3.7,107,"Beverages, Ice Cream",150.0,Delivery,Banashankari
168,Sagar Deluxe,Yes,No,3.2,167,"South Indian, North Indian, Chinese, Juices",300.0,Delivery,Banashankari
169,Kanti Sweets,Yes,No,4.0,115,"Mithai, Street Food",400.0,Delivery,Banashankari
170,Vegetalia,Yes,No,3.7,27,"Italian, Pizza",400.0,Delivery,Banashankari
171,Aramane Donne Biryani,Yes,No,3.5,57,Biryani,200.0,Delivery,Banashankari
172,Ande Ka Funda,Yes,No,3.8,120,"North Indian, Fast Food, Rolls",250.0,Delivery,Banashankari
173,Cake Ghar,Yes,No,3.8,15,Bakery,400.0,Delivery,Banashankari
174,Energy Addaa,Yes,No,4.2,64,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,Banashankari
175,Bhattara Bhojana,Yes,No,3.6,66,South Indian,150.0,Delivery,Banashankari
176,Tandoori Knight,Yes,No,3.0,290,"North Indian, Chinese, Biryani, Kebab",450.0,Delivery,Banashankari
177,Dev Sagar - Food Street,Yes,No,4.1,233,Street Food,200.0,Delivery,Banashankari
178,Mitraa Da Pizza,Yes,No,3.8,115,"Fast Food, Pizza",250.0,Delivery,Banashankari
179,Paradise Premium,Yes,No,3.1,119,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Delivery,Banashankari
180,Grazers,Yes,Yes,3.9,291,"Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,Banashankari
181,Shakes Theory,Yes,No,4.5,155,"Beverages, Sandwich",300.0,Delivery,Banashankari
182,@Italy,Yes,No,4.1,305,Italian,700.0,Delivery,Banashankari
183,Chilli Flakes,Yes,No,3.6,46,"Fast Food, Italian, Beverages",500.0,Delivery,Banashankari
184,Calcutta Cafe,Yes,No,3.5,45,"Bengali, Chinese, Sandwich",350.0,Delivery,Banashankari
185,Old Mumbai Ice Cream,Yes,No,3.9,38,Ice Cream,150.0,Delivery,Banashankari
186,Donne Biriyani House,Yes,No,3.9,441,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,Banashankari
187,By 2 Coffee,Yes,No,3.9,25,South Indian,100.0,Delivery,Banashankari
188,Kedia's Fun Food,Yes,No,4.3,630,"North Indian, Street Food, Juices",200.0,Delivery,Banashankari
189,Davangere Butter Dosa Hotel,Yes,No,3.8,25,South Indian,150.0,Delivery,Banashankari
190,Just Shawarma,Yes,No,3.9,160,Arabian,300.0,Delivery,Banashankari
191,Mini Punjabi Dhaba,Yes,No,4.2,287,North Indian,350.0,Delivery,Banashankari
192,Mulabagilu Dosa,Yes,No,3.6,11,South Indian,100.0,Delivery,Banashankari
193,CafDown The Alley,Yes,No,4.1,402,Cafe,500.0,Delivery,Banashankari
194,Gokul Veg,Yes,No,3.8,469,"North Indian, Chinese, Beverages",750.0,Delivery,Banashankari
195,Olive - Era,Yes,No,3.3,511,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,Banashankari
196,Udupi Ruchi,Yes,No,3.9,57,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari
197,Madhappa Hindu Military Hotel,Yes,No,3.4,14,South Indian,300.0,Delivery,Banashankari
198,Gama Gama,Yes,No,3.9,264,South Indian,200.0,Delivery,Banashankari
199,The Vintage Cafe,Yes,No,3.0,62,"Cafe, French, North Indian",400.0,Delivery,Banashankari
200,Pizza Hut,Yes,No,3.8,693,"Pizza, Fast Food",750.0,Delivery,Banashankari
201,Mangalore Pearl,Yes,No,3.8,242,"Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,Banashankari
202,Asha Sweets Centre,Yes,No,3.6,27,Fast Food,250.0,Delivery,Banashankari
203,Twiststick House,Yes,No,4.1,163,"Continental, Fast Food, Street Food, Momos",500.0,Delivery,Banashankari
204,Cool Corner,Yes,No,4.2,191,"Street Food, Fast Food",250.0,Delivery,Banashankari
205,Pizza Mane,Yes,No,3.5,32,"Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,Banashankari
206,Dal Tadkaa,Yes,No,2.5,247,North Indian,500.0,Delivery,Banashankari
207,Chutney Chang,Yes,Yes,4.1,2339,"North Indian, Chinese, BBQ",1500.0,Delivery,Banashankari
208,Mystique Palate,Yes,No,4.1,337,"Chinese, Fast Food",300.0,Delivery,Banashankari
209,Thamboola,Yes,No,3.9,135,"North Indian, Chinese, Continental",800.0,Delivery,Banashankari
210,Castle Rock,Yes,No,3.6,172,"North Indian, Chinese",700.0,Delivery,Banashankari
211,Vietnamese Kitchen,Yes,No,3.6,105,Vietnamese,700.0,Delivery,Banashankari
212,Smacznego,Yes,No,4.2,504,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,Banashankari
213,C Corner,Yes,No,3.2,36,"Fast Food, Street Food",200.0,Delivery,Banashankari
214,Paratha Merchant,Yes,No,3.1,39,North Indian,300.0,Delivery,Banashankari
215,North Rasoe,Yes,No,3.1,5,"North Indian, Chinese, Biryani, Kebab",500.0,Delivery,Banashankari
217,Toscano,Yes,Yes,4.3,1129,"Italian, Salad",1300.0,Delivery,Banashankari
218,Lord Of The Kitchen,Yes,No,3.9,56,"North Indian, Chinese",350.0,Delivery,Banashankari
219,Stoned Monkey,Yes,No,4.3,860,"Desserts, Ice Cream",500.0,Delivery,Banashankari
220,Central Jail Restaurant,Yes,No,3.8,412,"Andhra, Seafood, North Indian, Chinese",700.0,Delivery,Banashankari
221,Bella,Yes,Yes,3.9,142,"Mangalorean, Seafood, South Indian",1000.0,Delivery,Banashankari
222,Vennela Andhra Meals,Yes,No,3.0,23,Andhra,400.0,Delivery,Banashankari
223,New Prashanth Hotel,Yes,No,3.6,143,"South Indian, Biryani, Chinese, North Indian",750.0,Delivery,Banashankari
224,The Grillo,Yes,Yes,2.8,80,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,Delivery,Banashankari
225,Re Malnad Nati Style Hotel,Yes,No,3.6,16,South Indian,400.0,Delivery,Banashankari
226,Karma Kaapi,Yes,No,4.4,181,"Beverages, Tea",250.0,Delivery,Banashankari
227,Tiwari's,Yes,No,3.8,70,"North Indian, Street Food",200.0,Delivery,Banashankari
228,Pizza Stop,Yes,No,3.8,164,"Pizza, Italian",600.0,Delivery,Banashankari
229,Biggies Burger 'n' More,Yes,No,3.6,58,"Cafe, Burger, Beverages",650.0,Delivery,Banashankari
230,Srinathji's Cafe,No,No,3.8,148,"North Indian, Cafe, Chinese, Fast Food",550.0,Delivery,Banashankari
231,Kollapuri's,No,No,3.9,206,"South Indian, Mangalorean",450.0,Delivery,Banashankari
234,Kadamba Classic,No,No,3.6,16,South Indian,300.0,Delivery,Banashankari
235,RS Shiv Sagar,No,No,3.7,217,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,Delivery,Banashankari
236,Kholi Mane,No,No,3.6,46,"Andhra, South Indian, Biryani, North Indian",450.0,Delivery,Banashankari
237,Harshi Super Sandwich,No,No,3.8,148,"Fast Food, Street Food",150.0,Delivery,Banashankari
238,Cake Yard,No,No,3.4,30,Desserts,250.0,Delivery,Banashankari
239,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,"North Indian, South Indian, Andhra, Chinese",800.0,Delivery,Banashankari
240,Sri Udupi Veg,No,No,3.3,4,South Indian,250.0,Delivery,Banashankari
241,Cake Art,No,No,3.5,15,Bakery,400.0,Delivery,Banashankari
245,Potato House,Yes,No,3.4,9,Street Food,200.0,Delivery,Banashankari
247,Matru Sagar,Yes,No,3.7,31,"South Indian, North Indian",300.0,Delivery,Banashankari
248,Ugadi,Yes,No,2.9,177,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,Delivery,Banashankari
249,Sri Krishna Sweets,Yes,No,3.7,22,"Mithai, Desserts",250.0,Delivery,Banashankari
250,In Time Cane Juice,Yes,No,3.5,10,"Juices, Beverages",100.0,Delivery,Banashankari
251,Subway,Yes,No,3.7,136,"Salad, Fast Food",600.0,Delivery,Banashankari
252,Daal Roti,Yes,No,2.9,35,"North Indian, Chinese",250.0,Delivery,Banashankari
253,The Lassi Park,Yes,No,4.1,185,"Juices, Desserts",200.0,Delivery,Banashankari
254,Cafe Coffee Day,Yes,No,3.2,17,"Cafe, Fast Food",900.0,Delivery,Banashankari
255,A2B - Adyar Ananda Bhavan,Yes,No,3.8,155,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery,Banashankari
256,Srikrishna Bhavan,Yes,No,3.8,42,"South Indian, North Indian, Chinese",300.0,Delivery,Banashankari
257,Timepass Dinner,Yes,No,3.8,286,North Indian,600.0,Delivery,Banashankari
258,Green Gardenia,Yes,No,3.8,160,"North Indian, Chinese",700.0,Delivery,Banashankari
259,J Spice,Yes,No,3.8,59,"North Indian, Chinese",750.0,Delivery,Banashankari
260,Karavali Family Restaurant,Yes,No,3.5,90,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,Delivery,Banashankari
261,Karavali Lunch Home,Yes,No,3.7,51,"South Indian, Mangalorean",350.0,Delivery,Banashankari
262,Hatti Kaapi,Yes,No,4.0,89,"South Indian, Beverages",200.0,Delivery,Banashankari
263,Kolkata Kathi Roll's,Yes,No,3.6,18,"Fast Food, Rolls",250.0,Delivery,Banashankari
264,Upahara Darshini,Yes,No,3.9,40,"North Indian, Chinese, South Indian, Fast Food",600.0,Delivery,Banashankari
265,The Chaat Shop,Yes,No,2.5,35,Fast Food,200.0,Delivery,Banashankari
266,Anda Ka Funda,Yes,No,3.4,89,"North Indian, Chinese, Rolls",250.0,Delivery,Banashankari
267,Shri Vinayaka Ice N Juice,Yes,No,3.2,11,"Beverages, Fast Food",150.0,Delivery,Banashankari
268,My Tea House,Yes,No,3.6,62,"Italian, Fast Food, Cafe, European",600.0,Delivery,Banashankari
269,Ibaco,Yes,No,3.9,33,Desserts,300.0,Delivery,Banashankari
270,Jalaram Sweets,Yes,No,3.8,32,"Desserts, Mithai",250.0,Delivery,Banashankari
271,Samskruti - Sanman Gardenia,Yes,No,4.1,139,"North Indian, Chinese, South Indian",550.0,Delivery,Banashankari
272,Bendakaluru Bytes,Yes,No,3.2,154,Fast Food,300.0,Delivery,Banashankari
273,Cocoa Bakes,Yes,No,3.6,14,"Bakery, Desserts",350.0,Delivery,Banashankari
274,Chumma Delicious,Yes,No,3.7,237,"South Indian, Fast Food",200.0,Delivery,Banashankari
275,New Prashanth Hotel,Yes,No,3.9,388,"Biryani, North Indian, Seafood, Andhra",650.0,Delivery,Banashankari
277,Dwaraka Grand,Yes,No,3.9,128,"South Indian, Chinese, Street Food, Juices",500.0,Delivery,Banashankari
278,Gufha - The President Hotel,Yes,Yes,4.1,1875,"North Indian, Afghani, Mughlai",1200.0,Delivery,Banashankari
279,Cafe Vivacity,Yes,No,3.8,90,Cafe,650.0,Delivery,Banashankari
280,Tanna's Kitchen,Yes,No,3.1,7,"Italian, Chinese, Street Food",250.0,Delivery,Banashankari
281,Shree Mandarathi Grand,Yes,No,3.7,38,"South Indian, North Indian",400.0,Delivery,Banashankari
282,Mojo Pizza - 2X Toppings,Yes,No,4.2,179,Pizza,600.0,Delivery,Banashankari
283,Iceberg Icecreams,Yes,No,4.0,43,"Desserts, Ice Cream",250.0,Delivery,Banashankari
284,South Kitchen,Yes,No,4.3,275,South Indian,100.0,Delivery,Banashankari
285,Chung Wah,Yes,No,3.7,323,"Chinese, Thai, Momos",850.0,Delivery,Banashankari
286,Shanthi Sagar,Yes,No,3.1,28,"South Indian, North Indian, Chinese",400.0,Delivery,Banashankari
287,Millet Mama,Yes,No,3.9,18,"South Indian, Healthy Food",200.0,Delivery,Banashankari
288,Bangarpet Chat Express,Yes,No,3.3,6,"Street Food, Fast Food",100.0,Delivery,Banashankari
290,Prems Graama Bhojanam,Yes,No,4.3,322,South Indian,400.0,Delivery,Banashankari
291,Java City,Yes,No,2.6,157,"Cafe, American, Pizza",450.0,Delivery,Banashankari
292,Kamat Bugle Rock,Yes,No,3.9,543,"South Indian, Fast Food",300.0,Delivery,Banashankari
293,Woodee Pizza,Yes,No,3.7,180,"Cafe, Pizza, Fast Food, Beverages",500.0,Delivery,Banashankari
294,Puliyogare Point,Yes,No,4.2,444,South Indian,100.0,Delivery,Banashankari
295,Bangalore Agarwal Bhavan,Yes,No,3.9,134,"Street Food, North Indian, South Indian",400.0,Delivery,Banashankari
296,Rustic Stove,Yes,No,3.8,577,"North Indian, South Indian, Biryani, Beverages",900.0,Delivery,Banashankari
297,Udupi Ruchi Grand,Yes,No,4.2,60,"South Indian, North Indian, Chinese, Street Food",200.0,Delivery,Banashankari
298,De Thaali,Yes,No,3.9,144,"North Indian, Chinese, Rolls",550.0,Delivery,Banashankari
299,Spice Elephant,Yes,No,4.1,787,"Chinese, North Indian, Thai",800.0,Delivery,Banashankari
300,Just Thindi,Yes,No,3.6,16,South Indian,200.0,Delivery,Banashankari
301,Matru Sagar,Yes,No,3.6,84,"South Indian, North Indian, Chinese",250.0,Delivery,Banashankari
302,Vasanth Vihar - Since 1965,Yes,No,3.6,95,"South Indian, Street Food",150.0,Delivery,Banashankari
303,Sea Spice by 7 Star,Yes,Yes,4.0,349,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200.0,Delivery,Banashankari
304,Desi Dawat,Yes,No,3.7,248,"North Indian, Fast Food",400.0,Delivery,Banashankari
305,Cafe Aira,Yes,No,4.1,216,"Cafe, Continental, Beverages, Desserts",500.0,Delivery,Banashankari
307,Penthouse Cafe,Yes,No,4.0,324,"Cafe, Italian, Continental",700.0,Delivery,Banashankari
308,Mast Punjabi,Yes,No,2.6,231,"North Indian, Chinese, Rolls, Biryani, Kebab",400.0,Delivery,Banashankari
309,South Grand,Yes,No,3.4,102,"South Indian, North Indian, Chinese, Beverages",400.0,Delivery,Banashankari
310,Catch-up-ino,Yes,No,3.9,133,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Delivery,Banashankari
